party,id,committee,session,last,first,other,new_id,committeeID
1,10716,102,103,de la Garza,E.,(Kika),1,102103
1,10573,102,103,Brown,George,E.,2,102103
1,14048,102,103,Rose,Charlie,,3,102103
1,14219,102,103,English,Glenn,L.,4,102103
1,14444,102,103,Panetta,Leon,E.,5,102103
1,14422,102,103,Glickman,Daniel,R.,6,102103
1,14664,102,103,Stenholm,Charles,W.,7,102103
1,14459,102,103,Volkmer,Harold,L.,8,102103
1,15052,102,103,Penny,Timothy,J.,9,102103
1,15425,102,103,Johnson,Tim,,10,102103
1,15411,102,103,Espy,Mike,,11,102103
1,15623,102,103,Sarpalius,Bill,,12,102103
1,15631,102,103,Long,Jill,L.,13,102103
1,15635,102,103,Condit,Gary,,14,102103
1,29127,102,103,Peterson,Collin,C.,15,102103
1,29105,102,103,Dooley,Calvin,M.,16,102103
1,29382,102,103,Clayton,Eva,M.,17,102103
1,29366,102,103,Minge,David,,18,102103
1,29302,102,103,Hilliard,Earl,F.,19,102103
1,29937,102,103,Inslee,Jay,,20,102103
1,29351,102,103,Barlow,Tom,,21,102103
1,29384,102,103,Pomeroy,Earl,,22,102103
1,29396,102,103,Holden,Tim,,23,102103
1,29344,102,103,McKinney,Cynthia,A.,24,102103
1,29353,102,103,Baesler,Scotty,,25,102103
1,29330,102,103,Thurman,Karen,L.,26,102103
1,29339,102,103,Bishop,Sanford,D.,27,102103
2,14852,102,103,Roberts,Pat,,28,102103
2,14819,102,103,Emerson,Bill,,29,102103
2,14827,102,103,Gunderson,Steven,,30,102103
2,15035,102,103,Lewis,Tom,,31,102103
2,15063,102,103,Smith,Robert,F.,32,102103
2,15093,102,103,Combest,Larry,,33,102103
2,29124,102,103,Camp,Dave,,34,102103
2,29108,102,103,Allard,Wayne,R.,35,102103
2,29129,102,103,Barrett,Bill,,36,102103
2,29118,102,103,Nussle,Jim,,37,102103
2,29137,102,103,Boehner,John,A.,38,102103
2,29115,102,103,Ewing,Thomas,W.,39,102103
2,29104,102,103,Doolittle,John,T.,40,102103
2,29338,102,103,Kingston,Jack,,41,102103
2,39308,102,103,Goodlatte,Robert,W.,42,102103
2,29307,102,103,Dickey,Jay,,43,102103
2,29311,102,103,Pombo,Richard,W.,44,102103
2,29332,102,103,Canady,Charles,T.,45,102103
1,29368,102,103,Thompson,Bennie,,46,102103
1,29313,102,103,Farr,Sam,,47,102103
2,29393,102,103,Lucas,Frank,D.,48,102103
2,29352,102,103,Lewis,Ron,,49,102103
1,14672,102,103,Williams,Pat,,50,102103
1,29305,102,103,Lambert,Blanche,,51,102103
2,29364,102,103,Smith,Nick,,52,102103
2,29300,102,103,Everett,Terry,,53,102103
1,6845,104,103,Natcher,William,H.,54,104103
1,10075,104,103,Whitten,Jamie,L.,55,104103
1,8672,104,103,Smith,Neal,,56,104103
1,10421,104,103,Yates,Sidney,R.,57,104103
1,12036,104,103,Obey,David,R.,58,104103
1,12030,104,103,Stokes,Louis,,59,104103
1,11000,104,103,Bevill,Tom,,60,104103
1,14072,104,103,Murtha,John,P.,61,104103
1,14062,104,103,Wilson,Charles,,62,104103
1,14413,104,103,Dicks,Norman,D.,63,104103
1,14656,104,103,Sabo,Martin,Olav,64,104103
1,14620,104,103,Dixon,Julian,C.,65,104103
1,14624,104,103,Fazio,Victor,H.,66,104103
1,14233,104,103,Hefner,W.G.,(Bill),67,104103
1,14873,104,103,Hoyer,Steny,H.,68,104103
1,14210,104,103,Carr,M.,Robert,69,104103
1,15021,104,103,Durbin,Richard,J.,70,104103
1,15018,104,103,Coleman,Ronald,D.,71,104103
1,15083,104,103,Mollohan,Alan,B.,72,104103
1,15129,104,103,Chapman,Jim,,73,104103
1,15029,104,103,Kaptur,Marcy,,74,104103
1,15443,104,103,Skaggs,David,E.,75,104103
1,15438,104,103,Price,David,E.,76,104103
1,15448,104,103,Pelosi,Nancy,,77,104103
1,15124,104,103,Visclosky,Peter,J.,78,104103
1,14823,104,103,Foglietta,Thomas,M.,79,104103
