party,id,committee,session,last,first,other,new_id,committeeID
1,14307,305,103,Leahy,Patrick,J.,1,305103
1,10791,305,103,Pryor,David,,2,305103
1,14700,305,103,Boren,David,L.,3,305103
1,14705,305,103,Heflin,Howell,,4,305103
1,14230,305,103,Harkin,Tom,,5,305103
1,15502,305,103,Conrad,Kent,,6,305103
1,14617,305,103,Daschle,Thomas,A.,7,305103
1,14203,305,103,Baucus,Max,,8,305103
1,15702,305,103,Kerrey,J.,Robert,9,305103
1,49309,305,103,Feingold,Russel,D.,10,305103
2,14506,305,103,Lugar,Richard,G.,11,305103
2,10513,305,103,Dole,Robert,,12,305103
2,14105,305,103,Helms,Jesse,,13,305103
2,14009,305,103,Cochran,Thad,,14,305103
2,14921,305,103,McConnell,Mitch,,15,305103
2,14809,305,103,Craig,Larry,E.,16,305103
2,49301,305,103,Coverdell,Paul,,17,305103
2,14226,305,103,Grassley,Charles,E.,18,305103
1,1366,306,103,Byrd,Robert,C.,19,306103
1,4812,306,103,Inouye,Daniel,K.,20,306103
1,11204,306,103,Hollings,Ernest,F.,21,306103
1,14107,306,103,Johnston,J.,Bennet,22,306103
1,14307,306,103,Leahy,Patrick,J.,1,306103
1,14509,306,103,Sasser,Jim,,23,306103
1,14502,306,103,DeConcini,Dennis,,24,306103
1,14300,306,103,Bumpers,Dale,,25,306103
1,14914,306,103,Lautenberg,Frank,R.,26,306103
1,14230,306,103,Harkin,Tom,,5,306103
1,14440,306,103,Mikulski,Barbara,A.,27,306103
1,15054,306,103,Reid,Harry,,28,306103
1,15702,306,103,Kerrey,J.,Robert,9,306103
1,15703,306,103,Kohl,Herbert,H.,29,306103
1,49308,306,103,Murray,Patty,,30,306103
1,49300,306,103,Feinstein,Dianne,,31,306103
2,11203,306,103,Hatfield,Mark,O.,32,306103
2,12109,306,103,Stevens,Ted,,33,306103
2,14009,306,103,Cochran,Thad,,14,306103
2,14900,306,103,D'Amato,Alfonso,M.,34,306103
2,14910,306,103,Specter,Arlen,,35,306103
2,14103,306,103,Domenici,Pete,V.,36,306103
2,14908,306,103,Nickles,Don,,37,306103
2,14628,306,103,Gramm,Phil,,38,306103
2,15501,306,103,Bond,Christopher,S.,39,306103
2,14904,306,103,Gorton,Slade,,40,306103
2,14921,306,103,McConnell,Mitch,,15,306103
2,15037,306,103,Mack,Connie,,41,306103
2,15701,306,103,Burns,Conrad,,42,306103
1,14108,308,103,Nunn,Sam,,43,308103
1,14704,308,103,Exon,J.,James,44,308103
1,14709,308,103,Levin,Carl,,45,308103
1,10808,308,103,Kennedy,Edward,M.,46,308103
1,14912,308,103,Bingaman,Jeff,,47,308103
1,14304,308,103,Glenn,John,,48,308103
1,94659,308,103,Shelby,Richard,C.,49,308103
