nodeID,nodeName,class,classID
0,1100,ADM,0
1,1115,ADM,0
2,1385,ADM,0
3,1391,ADM,0
4,1395,ADM,0
5,1142,ADM,0
6,1149,ADM,0
7,1671,ADM,0
8,1193,ADM,0
9,1460,ADM,0
10,1210,ADM,0
11,1525,ADM,0
12,1144,MED,1
13,1148,MED,1
14,1157,MED,1
15,1168,MED,1
16,1191,MED,1
17,1469,MED,1
18,1547,NUR,2
19,1295,NUR,2
20,1307,NUR,2
21,1320,NUR,2
22,1352,NUR,2
23,1098,NUR,2
24,1613,NUR,2
25,1105,NUR,2
26,1362,NUR,2
27,1109,NUR,2
28,1365,NUR,2
29,1114,NUR,2
30,1116,NUR,2
31,1378,NUR,2
32,1383,NUR,2
33,1130,NUR,2
34,1401,NUR,2
35,1152,NUR,2
36,1159,NUR,2
37,1416,NUR,2
38,1164,NUR,2
39,1179,NUR,2
40,1181,NUR,2
41,1190,NUR,2
42,1196,NUR,2
43,1202,NUR,2
44,1205,NUR,2
45,1207,NUR,2
46,1209,NUR,2
47,1232,NUR,2
48,1245,NUR,2
49,1261,NUR,2
50,1535,NUR,2
51,1305,PAT,3
52,1323,PAT,3
53,1327,PAT,3
54,1332,PAT,3
55,1363,PAT,3
56,1108,PAT,3
57,1625,PAT,3
58,1373,PAT,3
59,1629,PAT,3
60,1374,PAT,3
61,1377,PAT,3
62,1393,PAT,3
63,1399,PAT,3
64,1658,PAT,3
65,1660,PAT,3
66,1701,PAT,3
67,1702,PAT,3
68,1221,PAT,3
69,1485,PAT,3
70,1238,PAT,3
71,1246,PAT,3
72,1769,PAT,3
73,1260,PAT,3
74,1784,PAT,3
